nombre,apellidos,correo,telefono,gustos
Ana,Pérez,ana.perez@example.com,600123456,Cómics
Luis,García,luis.garcia@example.com,600654321,Motos
María,López,maria.lopez@example.com,600987654,Cómics
Carlos,Ruiz,carlosgimmar11@gmail.com,600456789,Cómics
Elena,Sánchez,elena.sanchez@example.com,600112233,Cómics
Javier,Morales,javier.morales@example.com,600223344,Motos
Laura,Fernández,laura.fernandez@example.com,600334455,Cómics
Pedro,Gómez,pedro.gomez@example.com,600445566,Motos
Sofía,Martínez,sofia.martinez@example.com,600556677,Cómics
Miguel,Ramírez,miguel.ramirez@example.com,600667788,Motos
